Breed,Bred,BW,ADG,DMI,TDN,NEm,NEG,ME,RDP,RUP,CPa,Ca,P
N/a,N/a,lbs,lb/d,lb/d,%,Mcal/d,Mcal/d,Mcal/d,%,%,%,% of DM,% of DM
large,non bred,330.75,1.3,9.04,60,3.57,1.03,9,9.2,4.8,14,0.634,0.293
large,non bred,330.75,1.5,9.26,61.7,3.57,1.22,9.3,9.4,5.5,14.9,0.714,0.310
large,non bred,330.75,1.8,9.26,63.4,3.57,1.41,9.6,9.7,6.2,15.9,0.786,0.357
large,non bred,330.75,2.0,9.26,65.3,3.57,1.61,9.9,10,6.9,16.9,0.881,0.381
large,non bred,330.75,2.2,9.26,67.2,3.57,1.8,10.3,10.3,7.6,17.9,0.952,0.405
large,non bred,330.75,2.4,9.26,69.2,3.57,2,10.6,10.6,8.3,18.9,1.024,0.429
large,non bred,441,1.1,11.25,58.4,4.44,1.05,10.7,8.9,2.9,11.9,0.471,0.235
large,non bred,441,1.3,11.25,60,4.44,1.28,11.1,9.2,3.4,12.6,0.529,0.255
large,non bred,441,1.5,11.47,61.7,4.44,1.51,11.5,9.4,4,13.4,0.577,0.269
large,non bred,441,1.8,11.47,63.4,4.44,1.75,11.9,9.7,4.5,14.2,0.654,0.288
large,non bred,441,2.0,11.47,65.3,4.44,1.99,12.3,10,5,15,0.712,0.327
large,non bred,441,2.2,11.47,67.2,4.44,2.24,12.7,10.3,5.5,15.8,0.769,0.346
large,non bred,441,2.4,11.47,69.2,4.44,2.49,13.1,10.6,6,16.6,0.827,0.365
large,non bred,551.25,1.1,13.23,58.4,5.24,1.24,12.6,8.9,2.2,11.1,0.417,0.217
large,non bred,551.25,1.3,13.45,60,5.24,1.51,13.1,9.2,2.6,11.8,0.459,0.230
large,non bred,551.25,1.5,13.45,61.7,5.24,1.79,13.6,9.4,3,12.4,0.508,0.246
large,non bred,551.25,1.8,13.67,63.4,5.24,2.07,14.1,9.7,3.4,13.1,0.548,0.258
large,non bred,551.25,2.0,13.67,65.3,5.24,2.36,14.6,10,3.7,13.7,0.597,0.274
large,non bred,551.25,2.2,13.67,67.2,5.24,2.65,15,10.3,4.1,14.4,0.645,0.290
large,non bred,551.25,2.4,13.67,69.2,5.24,2.94,15.5,10.6,4.5,15.1,0.694,0.306
large,non bred,661.5,1.1,15.21,58.4,6.01,1.42,14.5,8.9,1.7,10.6,0.391,0.203
large,non bred,661.5,1.3,15.21,60,6.01,1.73,15.1,9.2,2,11.2,0.435,0.217
large,non bred,661.5,1.5,15.44,61.7,6.01,2.05,15.6,9.4,2.3,11.7,0.471,0.229
large,non bred,661.5,1.8,15.66,63.4,6.01,2.38,16.2,9.7,2.6,12.3,0.493,0.239
large,non bred,661.5,2.0,15.66,65.3,6.01,2.7,16.7,10,2.9,12.9,0.535,0.254
large,non bred,661.5,2.2,15.66,67.2,6.01,3.03,17.2,10.3,3.2,13.5,0.577,0.268
large,non bred,661.5,2.4,15.66,69.2,6.01,3.37,17.7,10.6,3.5,14.1,0.620,0.282
large,non bred,771.75,1.1,16.98,58.4,6.75,1.59,16.2,8.9,1.3,10.2,0.364,0.195
large,non bred,771.75,1.3,17.20,60,6.75,1.94,16.9,9.2,1.5,10.7,0.397,0.205
large,non bred,771.75,1.5,17.42,61.7,6.75,2.3,17.6,9.4,1.8,11.2,0.430,0.215
large,non bred,771.75,1.8,17.42,63.4,6.75,2.67,18.2,9.7,2,11.7,0.468,0.228
large,non bred,771.75,2.0,17.64,65.3,6.75,3.03,18.8,10,2.3,12.3,0.500,0.238
large,non bred,771.75,2.2,17.64,67.2,6.75,3.41,19.4,10.3,2.5,12.8,0.525,0.250
large,non bred,771.75,2.4,17.64,69.2,6.75,3.78,19.9,10.6,2.7,13.3,0.563,0.263
large,non bred,882,1.1,18.74,58.4,7.46,1.76,18,8.9,1,9.9,0.353,0.188
large,non bred,882,1.3,18.96,60,7.46,2.15,18.7,9.2,1.2,10.4,0.384,0.198
large,non bred,882,1.5,19.18,61.7,7.46,2.55,19.4,9.4,1.4,10.9,0.402,0.207
large,non bred,882,1.8,19.40,63.4,7.46,2.95,20.1,9.7,1.6,11.3,0.432,0.216
large,non bred,882,2.0,19.40,65.3,7.46,3.35,20.7,10,1.8,11.8,0.466,0.227
large,non bred,882,2.2,19.40,67.2,7.46,3.76,21.4,10.3,2,12.3,0.500,0.239
large,non bred,882,2.4,19.40,69.2,7.46,4.18,22,10.6,2.2,12.8,0.523,0.250
large,bred,992.25,2.0,22.71,70.1,7.62,4.51,26.1,10.7,3.3,14,0.544,0.272
large,bred,992.25,1.1,23.15,59.3,7.49,1.77,22.5,9.1,3.8,12.9,0.448,0.238
large,bred,992.25,1.3,23.15,61.1,7.49,2.16,23.2,9.3,4,13.3,0.476,0.238
large,bred,992.25,1.5,23.15,62.9,7.49,2.55,23.9,9.6,4.1,13.7,0.505,0.248
large,bred,992.25,1.8,23.15,64.8,7.49,2.96,24.5,9.9,4.3,14.2,0.524,0.257
large,bred,992.25,2.0,22.93,66.8,7.49,3.37,25.2,10.2,4.4,14.7,0.558,0.269
large,bred,992.25,2.2,22.93,68.9,7.49,3.78,25.8,10.5,4.6,15.1,0.587,0.279
large,bred,992.25,2.4,22.71,71.2,7.49,4.19,26.4,10.9,4.8,15.6,0.612,0.291
large,bred,1102.5,1.1,24.92,59,8.17,1.93,24.2,9,3.4,12.5,0.434,0.230
large,bred,1102.5,1.3,25.14,60.8,8.17,2.36,25,9.3,3.6,12.9,0.456,0.237
large,bred,1102.5,1.5,25.14,62.6,8.17,2.79,25.7,9.6,3.7,13.3,0.474,0.237
large,bred,1102.5,1.8,24.92,64.5,8.17,3.23,26.4,9.9,3.8,13.7,0.504,0.248
large,bred,1102.5,2.0,24.92,66.5,8.17,3.67,27.2,10.2,3.9,14.1,0.522,0.257
large,bred,1102.5,2.2,24.70,68.6,8.17,4.13,27.8,10.5,4.1,14.5,0.554,0.268
large,bred,1102.5,2.4,24.48,70.8,8.17,4.58,28.5,10.8,4.2,15,0.586,0.279
large,bred,1212.75,1.1,26.90,58.8,8.84,2.09,25.9,9,3.1,12.1,0.418,0.221
large,bred,1212.75,1.3,26.90,60.5,8.84,2.55,26.7,9.3,3.2,12.5,0.434,0.230
large,bred,1212.75,1.5,26.90,62.3,8.84,3.02,27.5,9.5,3.3,12.9,0.459,0.238
large,bred,1212.75,1.8,26.90,64.2,8.84,3.49,28.3,9.8,3.4,13.3,0.475,0.238
large,bred,1212.75,2.0,26.68,66.2,8.84,3.98,29.1,10.1,3.5,13.7,0.504,0.248
